team,seed,region,oddsToAdvance_64,oddsToAdvance_32,oddsToAdvance_16,oddsToAdvance_8,oddsToAdvance_4,oddsToAdvance_2,oddsToAdvance_1
purdue,1,midwest,1,0.9914958411,0.8549279577,0.6516146793,0.442565291,0.2760092853,0.1451707974
montanast,16,midwest,0.6232154466,0.006596852568,0.0009694940218,0.0001025512269,0.00000836289118,0.0000006507308894,0.00000003707403274
gramblingst,16,midwest,0.3767845534,0.001907306295,0.0001844671215,0.00001222815722,0.000000624826533,0.00000003750617871,0.000000001651807315
utahst,8,midwest,1,0.372194237,0.03894729053,0.0135351575,0.003793365711,0.001327749738,0.0003657385022
tcu,9,midwest,1,0.627805763,0.1049707906,0.04708197887,0.01737025798,0.007024420886,0.002261440533
gonzaga,5,midwest,1,0.8495108756,0.5166574002,0.1487869923,0.0634560849,0.03044993804,0.01183847137
mcneesest,12,midwest,1,0.1504891244,0.03996503033,0.004342968129,0.0008596472275,0.0001912569951,0.00003287755682
kansas,4,midwest,1,0.8112937609,0.4018657416,0.1295232659,0.05996870535,0.02798890561,0.01048310348
samford,13,midwest,1,0.1887062391,0.04151182783,0.005000178606,0.001068126184,0.000225316508,0.00003619723551
southcarolina,6,midwest,1,0.5734146686,0.1887280566,0.05326041597,0.01244822553,0.003585634037,0.0008040238977
oregon,11,midwest,1,0.4265853314,0.1160927313,0.02796346912,0.005526289663,0.00181835882,0.0004679222605
creighton,3,midwest,1,0.8511694337,0.6375882947,0.321349679,0.1367546699,0.0714786671,0.03061416074
akron,14,midwest,1,0.1488305663,0.05759091737,0.01026780055,0.001498851324,0.0002313469829,0.0000266259122
texas,7,midwest,1,0.6492026225,0.2031819835,0.09817921941,0.03155515147,0.01414853639,0.005101948911
virginia,10,midwest,0.5530825043,0.2084530461,0.04659915391,0.01723625465,0.003953795904,0.001144517595,0.00025592086650.9935302734
coloradost,10,midwest,0.4469174957,0.1423443314,0.02627480809,0.009189057493,0.001984853227,0.0006802945772,0.0001846177557
tennessee,2,midwest,1,0.9750466143,0.7208852679,0.4622049014,0.2171675208,0.1144455468,0.04947660762
saintpeters,15,midwest,1,0.02495338565,0.003058786632,0.0003492023652,0.00002017610259,0.000001461896735,0.0000000779210934
